אֵב	ev
אֶצְבַּע	etsba
אֶצְבַּעוֹת	etzbaot
אַצָּה	atsa
אָצִיל	atsil
אַצִּיל	atzil
אֵצֶל	etsel
אֲצֻלָּה	atsula
אֶצְלוֹ	etslo
אֶצְלְךָ	etzlkha
אָקָדֶמְיָה	akademya
אֶקוֹלוֹגִי	ekologi
אֶקוֹלוֹגְיָה	ekologya
אָקוֹרְד	akord
אַקְלִים	aklim
אַקְסֵסוֹרִי	aksesori
אַקְשִׁיב	akshiv
אַרְאֶה	are
אֵרָאֶה	erae
אָרַב	arav
אַרְבָּעָה	arbaa
אַרְבָּעִים	arbaim
אַרְגּוֹן	argon
אִרְגּוּן	irgun
אֲרוּחָה	arukha
אֲרוּחוֹת	aruchot
אָרוּס	arus
אֵרוּעַ	erua
אָרוּר	arur
אָרַז	araz
אֹרֶז	orez
אֹרַח	orakh
אֲרִי	ari
אֲרִיאֵל	ariel
אַרְיֵה	arye
אֲרָיוֹת	arayot
אָרִיקָה	arika
אָרֹךְ	arokh
אֹרֶךְ	orekh
אַרְכִיּוֹן	arkhion
אָרַכְנוֹפוֹבְּיָה	arakhnofobya
אֲרַם	aram
אַרְמוֹן	armon
אֲרַמִּי	arami
אֲרָמִית	aramit
אַרְמֶנְיָה	armenya
אַרְנָב	arnav
אַרְנָק	arnak
אֶרֶס	eres
אָרֻצָה	arutsa
אֶרְצֶה	ertse
אֲרָצוֹת	aratzot
אַרְצִי	artsi
אָרַר	arar
אִשָּׁה	isha
אִשָּׁה	ishah
אָשׁוּבָה	ashuva
אֶשְׁכּוֹלִיוֹת	eshkoliot
אֶשְׁכֵּיִים	eshkhayim
אֲשָׁכִים	ashakhim
אַשְׁכְּנַזִּי	ashkenazi
אַשְׁלְגָן	ashlegan
אֶשְׁלָחֲךָ	eshlachacha
אַשְׁלָיָה	ashlaya
אַשְׁמָה	ashma
אֶשְׁמַע	eshma
אֶשְׁמֹר	eshmor
אַשְׁמֹרֶת	ashmoret
אֲשֶׁר	asher
אָשֵׁר	asher
אִשֵּׁר	isher
אֻשַּׁר	ushar
אַשְׁרַאי	ashrai
אֲשֵׁרָה	ashera
אִשְׁרֵר	ishrer
אֵשֶׁת	eshet
אִשְׁתּוֹ	ishto
אשתיק	ashtik
אַתְּ	at
אֹת	ot
אֵת, אֶת־	et, et-
אַתָּה	ata
אִתָּהּ	itah
אָתוֹן	aton
אֲתוֹנוֹת	atonot
אֹתוֹת	otot
אִתִּי	iti
אֶתְכֶם	etchem
אִתְּכֶם	itchem
אִתְּכֶם	itkhem
אִתְּכֶן	itkhen
אִתָּם	itam
אַתֶּן	aten
אִתָּנוּ	itanu
בְּ־	b-
בֹּא	bo
בָּאָה	baa
בָּאָה	baa
בֹּאָהּ	boah
בָּאוּלִינְגּ	bauling
בָּאִים	baim
בָּא לְ־	ba le-
בֶּאֱמֶת	beemet
בָּאסָה	basa
בֵּאֵר	beer
בְּאֵר	ber
בְּאֵר שֶׁבַע	ber sheva
בֻּבָּה	buba
בָּבֶל	bavel
בַּג	bag
בגד ים	beged yam
בְּגָדִים	bgadim
בָּגֶט	baget
בִּגְלַל	biglal
בִּגְלַל שֶׁ־	biglal she-
בג״ץ	b.g.ts.
בַּגְרוּת	bagrut
בַּד	bad
בָּדָד	badad
בִּדֵּחַ	bideakh
בַּדְחָן	badkhan
בְּדִיּוּק	bdiyuk
בְּדִיחָה	bdikha
בְּדִיחוֹת	bdichot
בְּדִיעֲבַד	bediavad
בְּדִיקָה	bdika
בְּדָל	bdal
בִּדֵּל	bidel
בְּדֹלַח	bdolakh
בַּדְלָנוּת	badlanut
בָּדַק	badak
בָּהָאִי	bahai
‎‎בָּהֶם	bahem
בְּהֵמָה	behema
בְּהֵמוֹת	behemot
בְּהַצְלָחָה	bhatzlakha
בְּהָקִיץ	bhaqits
בּוֹ	bo
בּוֹא	bo
בּוֹדַד	bodad
בּוֹדֵד	boded
בּוֹלֵט	bolet
בּוּל עֵץ	bul ets
בוֹנוּס	bonus
בּוֹסְפּוֹרוּס	bosporus
בּוּעָה	bua
בּוֹקֵר	boker
בוּר	bur
בָּז	baz
בִּזְבֵּז	bizbez
בִּזְהִירוּת	bizhirut
בִּזְכוּת	bizkhut
בַּזֶּלֶת	bazelet
בָּחוּר	bakhur
בַּחוּרָה	bakhura
בְּחִירָה	bkhira
בְּחִירוֹת	bkhirot
בִּטֵּא	bite
בֻּטָּא	buta
בִּטּוּחַ	bituakh
בִּטּוּי	bitui
בָּטַח	batakh
בֶּטַח	betakh
בִּטָּחוֹן עַצְמִי	bitakhon atzmi
בִּטְחוֹנִי	bitkhoni
בָּטָטָה	batata
בָּטֵל	batel
בֻּטַּל	butal
בֹּטֶן	boten
בִּי	bi
בֵּיְגֶּל	beigel
בֵּיְגָּלֶה	beigale
בִּיג מֶק	big mek
בִּידוּד	bidud
בִּיוֹ־	biyo- , bio-
ביוטכנולוגיות	biotekhnologyot
ביוטכנולוגית	biotekhnologyat
בִּיוֹלוֹגְיָה	biologia
בִּיּוֹמֶטְרִיָּה	biyometriya
בִּיּוֹמַסָּה	biyomasa
בִּימָה	bima
בִּינָה מְלָאכוּתִית	bina melakhutit
בִּינַת	binat
בֵּינְתַיִם	beintayim, beinatayim
בֵּיצָה	betza
בֵּיצֵפָר	beitsefer
בִּירָה	bira
בַּיְשָׁן	bayshan
בֵּית	beyt
בֵּיתָא	beta
בֵּית דִּין	bet din
בַּיְתָה	bayta
בֵּיתָה	beta
בֵּיתָהּ	betah
בֵּית־חוֹלִים	beit-kholim
בֵּית חֲרֹשֶׁת	beit-kharoshet
בית מלון	beit malon
בֵּית סֵפֶר	bet sefer
בֵּית־קָפֶה	beit-kafe
בֵּית שֶׁמֶשׁ	beyt shemesh
בִּכָּה	bika
בְּכוֹר	bkhor
בֶּכִי	bekhi
בַּכְיָן	bakhyan
בְּכָל זֹאת	bkhol zot
בִּכְלָל	bikhlal
בֶּכֶר	bekher
בִּכֵּר	biker
בִּכְרִי	bichri
בְּכֹרֶךָ	bchorecha
בְּלֹא	blo
בִּלְבּוּל	bilbul
בִּלְבֵּל	bilbel
בָּלָגָן	balagan
בִּלָּה	bila
בִּלְהָה	bilha
בְּלוֹג	blog
בַּלּוּטָה	baluta
בִּלּוּי	biluy
בָּלוֹן	balon
בְּלִילָה	blila
בָּלַל	balal
בָּלַע	bala
בַּלְקָנִי	balkani
בַּלְשָׁן	balshan
בִּלְשָׁן	bilshan
בַּלְשָׁנוּת	balshanut
‎בָּם	bam
בַּמְבּוּק	bambuk
בָּמָה	bama
בְּמֶשֶׁךְ	bmeshekh
‎‎בָּן	ban
בָּן	ban
בֵּן	ben
בֶּן־זוֹנָה	ben-zona
בֶּן יִשְׂרָאֵל	ben yisrael
בֶּן־תַּרְבּוּת	ben tarbut
בַּנַּאי	banai
בָּנָאלִי	banali
בְּנִגּוּד לְ־	bnigud l-
בָּנָה	bana
בְּנָהּ	bnah
בָּנוּ	banu
בָּנוּ	banu
בְּנוֹ	bno
בְּנוּ	bnu
בָּנוֹת	banot
בֶּנזִין	benzin
בֶּנֶט	benet
בְּנֵי בְּרַק	bnei brak
בָּנָיו	banav
בְּנֵי יִשְׂרָאֵל	bne yisrael
בְּנֵיכֶם	bnechem
בָּנִים	banim
בָּנָנוֹת	bananot
בַּנְק	bank
בְּנֹתָיו	bnotav
בְּסֵדֶר גָּמוּר	bseder gamur
בָּסִיס	basis
בְּסִיסִי	bsisi
בְּעַד	bad
בָּעַט	baat
בְּעָיָתִי	baayati
בַּעַל	baal
בַּעַל	baal
בָּעַל	baal
בַּעַל זְבוּב	baal zvuv
בַּעַל חַיִּים	baal khayim
בְּעָלִים	balim
בַּעֲקִיפִין	baakifin
בְּעִקָּר	bikar
בָּעַר	baar
בִּעֵר	bier
בִּפְנִים	bifnim
בִּצָּה	bitza
בָּצֵק	batsek
בָּצֵק פָּרִיךְ	batsek parikh
בִּקְבֵּק	bikbek
בָּקָר	baqar
בִּקֵּר	biqqer
בֹּקֶר	boker
בְּקָרוֹב	bkarov
בְּקָרִים	bkarim
בִּקֹּרֶת	biqoret
בַּקְּרַת אַקְלִים	bakarat aklim
בִּקֵּשׁ	bikesh
בַּקְּשׁוֹת־	bakshot-
בַּקָּשׁוֹת	bkakashot
בַּקָּשַׁת־	bakashat
בִּקַּשְׁתָּ	bikashta
בַּר	bar
בָּר	bar
בָּרָא	bara
בֵּרֵא	bere
בֹּרֶג	boreg
בַּרְדְּלָס	bardlas
בַּרְוָז	barvaz
בַּרְוָזוֹן	barvazon
בְּרוּחַ הַזְּמַן	bruach hazman
בָּרוּךְ הַבָּא	barukh haba
בָּרוּר	barur
ברזים	brazim
בָּרַח	barach
בָּרִיא	bari
בְּרִיאָה	bria
בְּרִיאוּת	briut
בְּרִיאוּתִי	briuti
בְּרִיחַ	briakh
בֶּרִילְיוּם	berilyum
בְּרִית	brit
בְּרִיתוֹ	brito
בֵּרֵךְ	berekh  berakh
בֹּרַךְ	borakh
בֹּרַךְ	borakh
בְּרָכָה	brakha
בְּרֵכָה	brekha
בְּרָכָה אַחֲרוֹנָה	brakha akharona
בְּרָכָה רִאשׁוֹנָה	brakha rishona
בִּרְכּוֹן	birkon
בְּרָכוֹת	brakhot
בִּרְכַּת	birkat
בֶּרְלִין	berlin
בְּרַם	bram
בַּר מִינַן	bar minan
בַּרְמֶן	barmen
בָּרָק	barak
בְּרֶקְזִיט	brekzit
בְּרָקִים	brakim
בְּרֵרָה	brera
בֹּשׁ	bosh
בִּשְׁבִיל	bishvil
בִּשְׁבִילִי	bishvili
בְּשוּם אוֹפֶן	bshum ofen
בִּשֵּׁל	bishel
בֹּשֶׂם	bosem
בִּתּוֹ	bito
בְּתוֹךְ	btokh
בְּתוּלָה	betula
בְּתוּלוֹת	btulot
בְּתוּלַת	btulat
בָּתֵּי־כְּנֶסֶת	bate-kneset
בָּתִּים	batim
בַּת שֶׁבַע	bat sheva
גַּאֲוָה	gaava
גָּאַל	gaal
גְּאֻלָּה	gula
גֵּב	gev
גַּבַּאי	gabai
גָּבָה	gava
גָּבַהּ	gavah
ג־ב־הּ	g-b-h
גְּבוּל	gvul
גְּבוּלוֹת	gvulot
גִּבּוֹר	gibor
גְּבִינָה	gvina
גָּבִיעַ	gavia
גָּבַל	gaval
גְּבַל	gval
גִּבְעָה	giva
גִּבְעוֹל	givol
גִּבְעָתַיִם‎	givatayim
גָּבַר	gavar
גֶּבֶר	gever
גְּבַרְבַר	gvarvar
גַּבְרִי	gavri
גַּבְרִי	gavri
גַּבְרִיאֵל	gavriel, gabriel
גְּבָרִים	gvarim
גְּבִרְתִּי	gvirti
גְּבַרְתָּן	gvartan
גְּבַרְתֶּן	gvarten
גַּג	gag
גַּד	gad
גָּדוֹל	gadol
גְּדוֹת־	gdot-
גְּדִי	gdi
גָּדֹל	gadol
גֶּדֶם	gedem
גִּדְעוֹן	gidon
גְּדֵרָה	gdera
גֵּו	gev
גּוֹבָה	gova
גּוֹבֶה	gove
גּוֹי	goi
גְּוִיָּה	gviya
גּוֹלָן	golan
גּוֹלְף	golf
גּוֹנֵב	gonev
גּוֹנְבוֹת	gonvot
גּוֹנְבִים	gonvim
גּוֹנֶבֶת	gonevet
גּוֹסְפֶּל	gospel
גּוּף	guf
גּוּפָה	gufa
גּוּץ	guts
ג׳וּק	juk
גּוּר	gur
גּוּשׁ קָטִיף	gush katif
גִּזְבָּר	gizbar
גְּזוּזְטְרָה	gzuztra
גָּזַל	gazal
גֶּזַע	geza
גִּזְעָן	gizean
גָּזַר	gazar
גֶּזֶר	gezer
גִּזְרָה	gizra
גְּזֵרָה	gzera
גָּחוׂן	gakhon
גָּחוּן	gakhun
גֵּט	get
גִ׳יבְּרִישׁ	jibrish
גִּיגָבַּיְט	gigabayt
גֵּיהִנּוֹם	geihinom
גִיוֹרֶת	giyoret
גִּיחוֹן	gikhon
גִ׳ינְס	jins
גִּיֵּס	giyes
גֻּיַּס	guyas
גִּיר	gir
גִּיֵּר	giyer
גִּירִית	girit
גִ'ירָף	jiraf
גִ׳ירָפָה	jirafa
גִּישָׁה	gisha
גִּלְגּוּל	gilgul
גִּלְגּוּל	gilgul
גַּלְגַּל	galgal
גַּלְגַּל הַצָּלָה	galgal hatsala
גַּלְגַּל שִׁנַּיִם	galgal shinayim
גֻּלְגֹּלֶת	gulgolet
גָּלָה	gala
גֻּלָּה	gula
גִּלּוּי	giluy
גַּלָּח	galakh
גִּלֵּחַ	gileakh
גַּל חֹם	gal khom
גְּלִידָה	glida
גְּלִידוֹת	glidot
גְּלִידַת	glidat
גָּלִיל	galil
גָּלַל	galal
גֹּלֶם	golem
גַּלְעֵד	galed
גִּלְעָד	gilad
גַּל־קוֹל	gal-kol
גָּלַקְסִיָה	galaksia
גַּלְשַׁן שֶׁלֶג	galshan sheleg
גַּם	gam
גם כן	gam ken
גָּמָא	gama
גַמָּד	gamad
גִּמֵּד	gimed
גַּמָּדִי	gamadi
גַּמָּדִית	gamadit
גַּמֶּדֶת	gameded
גַּמָּל	gamal
גַּמֶּלֶת	gamelet
גָּמַר	gamar
גַּן	gan
גֶּן	gen
גַּן עֵדֶן	gan eden
גַּנָּב	ganav
גָּנַב	ganav
גָּנַבְנוּ	ganavnu
גְּנַבְתֶּם	ganavtem
גְּנַבְתֶּן	ganavten
גִּנָּה	gina
גְּנוֹסְטִי	gnosti
גְּנוֹסְטִיקָה	gnostiqa
גְּנוֹסִיס	gnosis
גְּנָזִים	gnazim
גֶּנִים	genim
גַּנָּן	ganan
גָּנַן	ganan
גַּנֶּנֶת	ganenet
גֶּנֶרָל	general
גַּסְטְרוֹנוֹמִי	gastronomi
גַּעְגּוּעַ	gagua
גֶּפֶן	gefen
גָּ׳קוּזִי	djakuzi
גֶ׳קְסוֹן	jekson
גָּר	gar
גֵּר	ger
גְּרָ״א	gra
גֶּרֶב	gerev
גַּרְבִּיוֹן	garbiyon
גַּרְבִּיוֹנִים	garbiyonim
גָּרָה	gara
גֵּרָה	gera
גֵּרָה	gera
גְּרוּזִינִית	gruzinit
גְּרוּטָאָה	grutaa
גָּרוֹן	garon
גְּרוֹנִי	groni
גַּרְזֶן	garzen
גְּרִיסָה	grisa
גֶּרְמָנִי	germani
גֶּרְמַנְיָה	germanya
גֶּרְמָנִית	germanit
גַּרְעִינֵי	garine
גַּרְעִינִי	garini
גְּרָף	graf
גֵּרֵשׁ	geiresh
גֵּרֵשׁ	geresh
גָּרַת	garat
גַּרְתְּ	gart
גַּרְתָּ	garta
גֵּרַת	gerat
גָּשׁוֹשׁ	gashosh
גֶּשֶׁם	geshem
גֻּשְׁפַּנְקָה	gushpanka
גֶּשֶׁר	gesher
גִּתִּית	gitit
דָּאַג	daag
דְּאָגָה	daga
דַּאֲגָן	daagan
דָּאָה	daa
דֹּאַר	doar
דֹּאַר אֶלֶקְטְרוֹנִי	doar elektroni
דֹּב	dov
דֻּבְדְּבָן	duvdvan
דִּבּוּר	dibur
דְּבוֹרָה	dvora
דִּבֵּר	diber
דֻּבַּר	dubar
דִּבְרֵי הַיָּמִים	divrei hayamim
דִּבְרֵי יְמֵי	divre yme
דְּבָרִים	dvarim
דְּבָרִים אֲחֵרִים	dvarim acherim
דְּבָרְךָ	dvarcha
דְּבַשׁ	dvash
דָּג	dag
דָּג	dag
דִּגְדֵּג	digdeg
דָּגִים	dagim
דֶּגֶל	degel
דֻּגְמָא	dugma
דֻּגְמָה	dugma
דַּד	dad
דּוֹ	do
דּוּ	du-
